question_name,question_link,level,type,topic_slug
Sum of Digits of a Number,https://www.geeksforgeeks.org/problems/sum-of-digits-of-a-number/1?page=1&category=Recursion&sortBy=difficulty,EASY,HOMEWORK,recursion
Count Total Digits in a Number,https://www.geeksforgeeks.org/problems/count-total-digits-in-a-number/1?page=1&category=Recursion&sortBy=difficulty,EASY,HOMEWORK,recursion
Recursive sequence,https://www.geeksforgeeks.org/problems/recursive-sequence1611/1?page=1&category=Recursion&sortBy=difficulty,HARD,HOMEWORK,recursion
Fibonacci Number,https://leetcode.com/problems/fibonacci-number/,EASY,CLASSWORK,recursion
G.F Series,https://www.geeksforgeeks.org/problems/gf-series3535/1?page=1&category=Recursion&sortBy=difficulty,EASY,CLASSWORK,recursion
Count Total Digits in a Number,https://www.geeksforgeeks.org/problems/count-total-digits-in-a-number/1?page=1&category=Recursion&sortBy=difficulty,EASY,CLASSWORK,recursion
Digital Root,https://www.geeksforgeeks.org/problems/digital-root/1?page=1&category=Recursion&sortBy=difficulty,MEDIUM,CLASSWORK,recursion
"Pow(x, n)",https://leetcode.com/problems/powx-n/,HARD,CLASSWORK,recursion
Recamans sequence,https://www.geeksforgeeks.org/problems/recamans-sequence4856/1?page=1&category=Recursion&sortBy=difficulty,HARD,CLASSWORK,recursion
Print Pattern,https://www.geeksforgeeks.org/problems/print-pattern3549/1?page=1&category=Recursion&sortBy=difficulty,MEDIUM,HOMEWORK,recursion
Josephus problem,https://www.geeksforgeeks.org/problems/josephus-problem/1?page=1&category=Recursion&sortBy=difficulty,HARD,HOMEWORK,recursion
Juggler Sequence,https://www.geeksforgeeks.org/problems/juggler-sequence3930/1?page=1&category=Recursion&sortBy=difficulty,HARD,HOMEWORK,recursion
REC_CMPL1,https://www.interviewbit.com/problems/reccmpl1/,HARD,CLASSWORK,recursion
REC_CMPL2,https://www.interviewbit.com/problems/reccmpl2/,HARD,CLASSWORK,recursion
REC_CMPL3,https://www.interviewbit.com/problems/reccmpl3/,HARD,CLASSWORK,recursion
Tower Of Hanoi,https://www.geeksforgeeks.org/problems/tower-of-hanoi-1587115621/1,EASY,CLASSWORK,recursion
Modular Exponentiation,https://www.geeksforgeeks.org/problems/modular-exponentiation-for-large-numbers5537/1,EASY,CLASSWORK,recursion
Super Pow,https://leetcode.com/problems/super-pow/,MEDIUM,HOMEWORK,recursion
Bubble Sort,https://www.geeksforgeeks.org/problems/bubble-sort/1,EASY,CLASSWORK,sorting
Selection Sort,https://www.geeksforgeeks.org/problems/selection-sort/1,EASY,CLASSWORK,sorting
Maximum product of two numbers,https://www.geeksforgeeks.org/problems/maximum-product-of-two-numbers2730/1,EASY,HOMEWORK,sorting
Maximum Product of Three Numbers,https://leetcode.com/problems/maximum-product-of-three-numbers/,MEDIUM,HOMEWORK,sorting
Stable Sort and Position,https://www.geeksforgeeks.org/problems/stable-sort-and-position1359/1?page=1&category=Sorting&sortBy=difficulty,EASY,HOMEWORK,sorting
